,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
6,83,1988,Fall,October,CA,Madera County,The sighting took place at the end of a road leading to a trail head that leads into the back of yosemite park. The road starts 500 ft from Bowler campground going north off of beasore rd.,Bass Lake Ca.,Beasore Rd.,"Early in the morning before light my friend and I decided to hike up a ridge and sit down where we could see a lot of area hoping to see a deer that we could bag. We parked in an area just below the ridge where when the sun lightened up enough we could easily hike up to the top in about 20 minutes. As it got light enough to see the top, we noticed someone already on the ridge wearing what seemed to be black of all things. He had no light, and no gun, and we wondered where he came from because we had been camped there for 11 days, and no one had come by that whole time. We watched him dig around in some brush for at least 30 minutes, pausing occasionaly for long periods to just stare in different directions. We joked that it was probably a hunter from L.A. because anyone would be crazy to wear just black during deer, and bear season. Then he began to walk down the hill right for us, now we never left the truck yet, and he would walk a little ways and the stop and look around just as if he was hunting, but with no rifle. He walked just like a human, so at this time there was no reason to think it was anything but a man. After a little while it was getting light enough to see even better, and he was still walking straight for us. When he was about 50 yards away we both at the same time realized we were not watching a man, but this was a Bigfoot! He walks like a man, but he was not a man. He had jet black, shiny fur, with a reddish color around where his eyes were. At this moment I was ready to run clear home in one leap! I had to see this thing up close, and he had not noticed us yet, so I tried to open the door of the truck real easy so he wouldn't notice, but that old ford truck was anything but quiet, and he heard the latch release and took one good look before breaking into a run. I tried to bring the scope up to view him closer, but this guy could really move, and I could not get my eye into the scope before he got behind a tree and nev er came out. It took all the nerve in my body to walk over to the tree, but he was not there he flat disappeared. My friend was hollering the whole time not shoot, and thought I was crazy for trying to go find him, or a track, or something. All I know is I have different kind of respect for the back woods now, and I give a lot of room between me and large objects. I was brought up in these woods camping, and hunting every year and only heard of such things.",,Just two of us sitting in a p/u waiting for a little light.,"The man I was with was my fathers best friend, and he told me later that day that was the fourth bigfoot he had seen in that area, but would deny it to his grave for fear of ridicule. He has since past away when he was hit unexpectedly by a semi truck. He told me was hunting with his son, watching him zig zag up a hill around noon,in 1970 when a bigfoot walked between him and his son the whole time the bigfoot never took his eyes off his son. He felt that it did not intend any harm so he did not get alarmed. The fist time he said he was parked in the same place, and he was in his camper again around noon reading a book when someone walked by and waved to him through the side window. He didn't hear anyone drive up so he thought he would go out and say high. There was no one there, and then he realized the window was at least seven and a half feet above the ground, it could not have been a mere man.",5:30am to 6:45am The weather was clear and the sun was not quite shining directly on me.,,
10,97,1992,Winter,October,CA,Modoc County,"Go east from Alturas on 395,turn right at Davis Creek, turn left when the dirt roads cross, about five miles north on that road start walking east till you reach the top and can see the feilds of Nevada.",Alturas,Highway 395,"I think it was 1992 when this happened. The only people I told were my dad and uncle who were deer hunting with me at the time. I had left our camp before sunrise so I would be deep into the woods when the sun came up. I had just come out of the tree line into a clearing when I got a feeling something was watching me, I thought it was probably just deer but as I went across the clearing out into the open I felt really strange like something just glaring at me. I walked east into the sun and wind to the edge of the bank where there was still paches of snow on the ground because this was early October in X3B deer hunting zone. That's when I saw half a foot print in the snow.  It looked like the heal of a human foot only this one was about 8 inches wide. Then around 6 feet towards the edge of the bank was the front half of another print with five toes only they were big around like a man's bare foot would have been after the snow melted around it, but they were not from a man and the tracks were fresh. I looked over the edge of the bank and the side was all flat rock shail that looked like it had been recently disturbed. About 100 yards down was thick timber and as I looked down into it I felt like something was looking right up at me. I felt chills big time right then and felt like I needed to get away from there. Thats all that happend but I really think there was something down there that either saw me or heard me at least half a mile away because I was hunting with the wind in my face.","Nothing heard seen or smelled, very strong wind blowing that morning on top of the mountain.",There was only me.,none.,"Early morning with the sun just coming up. very cold wind, cold enough to freez the tears from your watering eyes.","At the top of the mountain overlooking the edge. Big clearing, wide open.",
21,147,2000,Summer,June,CA,El Dorado County,south of South Lake Tahoe,,,"At our home south of South Lake Tahoe, we have been hearing tell-tale screams for the last three months. I have several recordings of these screams, and have been in coordination with three of the curators involved with the BFRO for northern California. Suffice it to say that almost nightly, we have been witness to a resounding number of screams/wails which have not been attributable to coyote nor other ""known"" forms of animal call/sound.  The sounds have occurred from 9:00pm through 7:00am in the morning on a consistent basis.  I have made several recordings, mostly from my bedroom window. We have made several all-night forays into the forest in an attempt to capture the sounds. My brother and I have made extensive backpacking trips into the wilderness surrounding this area in an attempt to pin down the most likely locations for activity, and we feel we have narrowed it down very well (based upon our normal reception of sound and habitational demographic...) I have found tracks in this area which i have photographed as well as ""beds"" with torn branches/etc. which may very well be attributable to bear activity, although the screams at night are definitely not.  Areas in question are well off of the beaten path. Description:  A mournful wail. Sounds like a locator beacon (like a sonar ""ping"") usually answered by another of lower pitch, and both seem to converge at some point--after which both cease to sound.  We (my brother and I) have noticed coyote howls interspersed with the ""other"" sounds.  We have thoroughly explored the areas surrounding our location, some of which our dogs refused to enter.  We've camped out all night with bait, only to give up and head in to hear them after we've been tucked away for a good thirty minutes--leaving us dead tired with no ""substantial evidence"". ","yes....no wildlife--i.e. no deer, etc...","three--myself, my brother, my girlfriend",,anywhere from 9:00pm to 7:30am,"Pine forest - houses to the west of said location, mountainous wilderness to the east to the carson valley (thirty miles of nothing)",
22,160,1972,Summer,July,CA,Trinity County,Papoose Lake in the Trinity Alps Primitive Area.  14 miles from trailhead up Rattlesnake Creek.  Papoose lake is a large lake in a glacial cirque and is easily located just below Thompson peak in the Trinity Lake.,Junction City,299,"     A tremendous storm came in off the Pacific.  My friend and I took shelter in a plastic ""tube tent"".  About Midnight we heard a large animal walking around our camp.  The animal had two legs, not 4.  The animal had soft feet, not hooves.  The animal was walking through brush and the forest floor.  The weight of the animal was breaking branches, that, from the sound, were at least one inch in diameter.  The animal walked around our campsite screaming for most of 4 hours.  The screams were blood curdling, and almost human, but louder and unlike any animal I am familiar with. I have hiked the Trinity Alps all my life.  I know the trails and the environment intimately.  Better than Luther Linkhart who wrote the book on the Trinity Alps.  This was not a bear, I have heard and seen dozens of them and chased lots of them out of camp.  This was not a deer, I have seen hundreds of them and had them step over me at night when I camped on a trail.  This animal had two legs, the difference between a 4 legged and 2 legged gate is easily distinguished.  This animal was very heavy and was breaking large branches as it walked, but it had no hooves.  This was not a mountain lion.  I have had them follow me and have heard them scream.  Mountain lions do not snap branches. We were in the only stand of trees for a mile in any direction.  The animal took shelter in that stand of trees and spent the night with us, walking around our camp and screaming all night.  I am certain it was frightened as the wind was breaking large branches and there was a lot of lightning and thunder.  At some moments it was no more than 20 feet away, but it was too dark to see that far, and no way were we going to turn a flashlight on it.  It was truly frightening.  I was 16 at the time, but I was used to facing down mountain lions and chasing bears out of camp with a spoon and a plate.  This animal was terrifying. I found this page as a link from an SF Chronicle article.  When I loaded up the scream sound from Ohio, that was it.  Except, when that scream is from a frightened animal 30 feet from you no recording could ever do it justice. In the morning we looked for prints or sign, but a wet forest floor over granite is the wrong surface, and we found no sign.  We headed back the 14 miles to the car at top speed. I have hiked the Trinity Alps on over 300 trips during my life.  I have never gone back to that lake.","The weight of the animal, the volume and pitch of the screaming.  I believe the intense storm drove it to seek shelter near us or it would never have spent so much time in that proximity to humans.",My best friend at the time was hiking with me. He heard and felt everything I did.,"     The Trinity Alps are full of stories.  The animal lives there. I know this report is absurdly old.  But the sound you have from Ohio is it.  Put on headphones, go into a dark closet with no light, and run 100 watts through your headphones and it will come close to the real sound. I have continued to hike, fish and hunt that wilderness area for the last 28 years since then, and have had no other contact.  No prints, no unusual scat, no sounds, no sightings.  There are a million places an animal that size could live in the Alps forever without contact.","Midnight to 4 am  during a severe storm.  Very high winds, heavy rain, dense clouds, pitch black night, almost no visibility.","West side of Papoose lake.  There is a small area, about 100 yards wide, of trees, near the shoreline of the lake, surrounded by treeless granite.",
23,166,2000,Spring,February,CA,Contra Costa County,"I live at the base of the Diablo Foothills, in the East Bay in California.  My house in on Garron Ct., off of Rudgear Road, which can be accessed off of Freeway 680.",Walnut Creek,Garron Ct. off of Rudgear Road,"I dont think this was a BIGFOOT sighting, and in fact never even considered it until stumbling across your site, and reading a few things that were similiar to what we heard. But I thought I would share, if only for the sake of adding to your information base.  I had a friend visiting, and we were both awaked around 2:00-3:00AM, by a very un-natural howling sound.  It sounded as if a pack of wild dogs was running past the house.  We didnt hear any footsteps though, just a very odd sounding howling.  But it was like a mixture of howling and heavy wind combined.  Note, it wasnt windy that night at all.  We heard it for about 10 seconds, as it went past the house and kept going.  We could heard the sounds fade in the distance as it ran off.  We both sat there terrified, saying ""What the #$%$# was that??""  We didnt go outside to check it out, rationalizing that it had to be a pack of dogs, or coyotes or something.  Until reading your site, I hadnt really thought much more of it.",Nothing odd was noticed at all.,"One other witness, My friend Diana who was visiting from Ohio.","Ive never read or heard of any sightings of a bigfoot in this area.  The closest reports I saw on your site, would be in Marin County just across the bay.  Ive never heard any sound like this before, or after this incident.  Ive asked my roomates if theyve ever heard anything like that and they also say no.","It was 2:00-3:00 AM, weather wasnt too warm, but we did sleep with the windows open that night.","We were in my house asleep at the time.  THe surrounding area is a combination of foothills, trees, dry grass, and many hiking trails.  Quit a bit of wildlife in the foothills.. coyotes, mtn lions, and deer.",
25,174,1989,Spring,May,CA,Siskiyou County,"On a return trip to Klamath Falls, OR from sightseeing in the Redwoods, my ex-husband and I camped on the outskirts of Klamath National Forest, north of Weed, between Goosenest and Herd Peak Mts.",Weed,97 North,"I was having a dream that I was being watched. My ex and I had thrown our mattress in the back of our truck, which sat about 1.5 feet lower than the canopy windows. The dream I had frightened me, because the face I was seeing was not human. I woke up in a sweat and happened to be facing the window in the canopy in time to see a large dark form moving away from the window, toward the front of the truck and out of my view. I sat up and cautiously peeked out of the canopy window to see this VERY LARGE,dark, hairy figure moving quickly up the hill into the forest from the campground. It walked upright with the gait of a human, it moved through the trees giving me an estimate of it's height at about 7ft. I remember loosing my scientific detachment at that time and as the ""thing"" disappeared further up the hill, I shook my ex awake and through a choked and somewhat hysterical description explained that I was very frightened. I couldn't calm down, and he decided it would be a good idea to leave. We quickly got out of the back of the truck and noticed a very dank and musky smell. This scared me even further and we loaded our things and drove out of the camp. I wish I had been in a better frame of mind during the event, however the memory of the face I had seen, apparently in the half awake state( and still see in my mind) was not condusive to rational thinking. It was vaguely humanoid with large protruding brows, the eyes were dark and intense. The nose was a strange mixture of gorilla and human. The mouth was severe and somewhat turned down with fleshy lips. The facial hair was not on nose, eyes or mouth. The head was conical shaped, with a pronounced saggital crest. The jaw was not prognathic. Frankly, it scared the s*** out of me. I must state that I am a student of anthropology at Portland State University, and have never (outside of immediate family members) discussed this with my colleagues. I have always been fascinated with the ""legends""  but perhaps I never believed them truly until that moment. My family is amused by my story but think perhaps I just had a bad dream. Doubt it.",,"I was the only observer of the ""thing"", however my ex-husband can verify my extreme fright and the weird smell.","I was not aware of stories in that particular area. Of course I knew about Patterson and Bluff Creek, but I had never considered ever being a witness.","The incident occered in the early hours of the morning, approximately 4:30-5:00 am. The campground was barely lit with the light of false dawn, enough to make out individual trees and other camping areas.","The sighting occurred at a developed campground, at or around mile marker 54 north and east of Weed California. It was a dense pine forest area with little, to no low ground cover. The trees, although dense were straight and consistently spaced. Our camp was approximately 50 yds. south of the restrooms, no camp between ours and the facilities.",05-26-89
45,264,1992,Fall,October,CA,Kern County,"From Los Angeles,60 miles to Frazier Park. Sheep Camp is on local maps. ","Frazier Park ,CA.",highway 33,"  Approximatly 1992,a friend and I were hiking in the Los Padres National Forest,out of Frazier Park,CA.We were in the Sheep Camp area,and had stopped for a break near a rocky outcroping. I had walked away from where my friend Al was sitting,and was looking down into a ravine about 150 ft.below me.The area is heavily wooded, but as I stood there,I spotted a slight movement in the flora.    I was startled to see something that was dark brownish and vertical,(since I would have clearly seen any horizonal part of it's body,from my vantage point.)I yelled for my friend,""Hey!Al!Come here!"" Unfortunatly, he was tired and very uninterested...""Whaaaat?...""Come here! What the Hell is THAT?!!"" At my yell,the thing looked up at me.    It had been standing sideways from my view,and cocked it's head up and to the rear on it's right side.I could see it had a face,not too unlike a human. Then it took off thru the brush,before my friend got within ten feet of the ledge. He did not see a thing! I did not detect any odor,as I understand is sometime reported,but it was down in a ravine.I have hiked extensively thoughout the Sierra Nevada Range and all over for the past 25 years,and have never seen anything like that.  ",NO other ANIMALS! I remember us commenting this to each other....Very still.,SEE: Desciption,Have heard of Oldtimers seeing things in the '30's -'40's ,"daytime,about 3-4 pm,broken sunlight,(clouds,sun) 73-78 degrees","Pine forest,with spring used in old days by sheep herders...very isolated.Caution! Water no longer potable!",
52,325,Early 70's,Fall,October,CA,Los Angeles County,"Back in the Early 1970's, you could go up Highway #39, and where it intersected with Highway #2.  You can then go west on highway #2, untill you get to Mt. Waterman.  The Caynon's name is Cooper Caynon.",San Gabriel Mountains,Highway #2,"Dear Sirs: This early 1970s sighting was not of my own. I was a boy when my brother-inlaw of that day and one or two of his hunting friends had an excellant and fairly long term sighting, both via their eyes and through high powered rifle scopes.   However I can relate some of this information to you and even put you in touch with two of the possible three people, can't guarantee they will talk with you about the sighting, but one never knows. In fact I spoke with my ex-brother in-law about this earlier this evening because I happened upon your website and explored it.   What is very significant is that Sam and Don had every opportunity to shoot this animal and/or person and thought about it, but could not because it looked to human!   Only THREE DAYS later Big Foot reports hit the news. My father and Sam AKA Sandy, in front of me took a forest map out and Sam became quiet as the new sightings were only 15 miles from his encounter, and in the direction the creature was traveling. The newer sightings as I recall put the creature near Pear Blossum, CA on the other side of the mountains. I remember a news report of 1000 people lined up across the desert looking for anything and they did find some hair on a barbwire fence. To this day I know of no one having reported this first encounter three days prior.   Another significant item is that in those days bear season and deer season overlaped or was one in the same. At first they thought this might be a deforemed bear (they had bear tags) as they witnessed this being walking on two legs just like any human and appeared to be 7 to 8 feet tall.   They were a few hundred yards away on the other side of the caynon, (don't remember the name of the caynon) but their rifle scopes allowed them to see this clearly enough that viewing the face and shape they could not decide if this was an animal or a human. I remember Sandy/Sam saying it looked like a monkey man. The animal/person seemingly did not know they were there. They had bear tags and thought about shooting the creature but as I said could not make themselves do it. I recall Sam telling my father that it had to be a bear because it dropped to all fours when it climbed the steeper terrain. My father asked Sam: How did you guys climb it? The reply was the same as the deformed bear.   About then my brother in-law was no longer jovial regarding the sighting and preffered not to discuss the incident. Until now I have more or less left the man alone about it. Today he is a Plant Manager for a large trailer company.   Don still lives in Baldwin Park, CA but maybe moving to San Diego, CA. I seldom cross paths with Don nor have I never pursued the matter with him. If you folks are interested I can put you in touch with both of them but you may have to settle for what I have related. Without the permission of at lest one of the actual witnesses it might not be right to post this information.    As for myself today I am 40 years old and drive for MTA and I am use to making out reports. I understand the need for accuracy without exaggeration. I hope this relayed information was not to long winded and useful.   Tim P.    Tim P. only heard this story 2nd hand as a youth.     ",,"Primary witness:  Sandy W. who was contacted by phone on the 17th of Oct. 2000. Other primary witness: Don H. Sandy W. who was primary witness #1, wants his contact information kept confidential. ",,"Clear warm/hot weather, day afternoon. Steep mountain terrain.","Steep canyon with trees and manzanita brush, fading out to desert.                        ",Unknown
57,353,2000,Fall,September,CA,El Dorado County,West Lake Tahoe just north of Sugar Pine Point State Park Campground,Tahoma,HWY 89,"On Saturday night Sept 23, 2000 (last night) my wife and I were on our way back form dinner and were driving south on HWY 89 just south of Tahoma (west side of Lake Tahoe), about 100 yards north of the Sugar Pine Point State Park Campground turn off when my headlights illuminated what appeard to be a furry animal crossing the road. When it saw our vehicle approaching it began to run from the center of the road to the other side into the trees as we passed. The general motion was from right to left heading west to east toward the lake form the campgroud area.  The strange thing was that it was clearly not a bear or any kind of four legged animal. It had a distinkt two legged run as I would expect a human to have, but was covered with hair (or fur) that was much longer than that of other furry animals and had a rust colored hugh to it. It ran slightly bent over and had medium hight (5-6'). It happened too fast to make out special features like feet, hands or the shape of the head. I could only see the running form of the body.  The first thing that I thought was that it looked like a big foot, but was hesitant to suggest that to my wife. She in her exitement pointed to it and began to say ""look at the bear"" but stopped up short. I told her that I didn't look like that to me.  She was the one who suggested that it  really looked more like a Sasquatch, and at that point I know that we had both seen the same thing.  A few reflections: 1. I would prefer to believe that it was just a prank by some fun seeking camper, but it was very real. This animal did not run or move as I would expect a human to run or move. What we saw was not a prank. 2. I can't think of a reason why anyone would go to that much work to fool a motorist for no apparent reason. 3. I have been a bit of a sceptic until yesterday, but we saw what we saw. I've been unable to find any other expanation for it. 4. As one might expect, we were unable to get a photograph and will have to live with our rememberance.  I hope that this may help you or other who are keeping track of sightings.",None,"My wife and I. There was another car faily close behind us, but I don't know if they saw it.",None that I know of.,"The sighting was at approx. 2030 hrs on a Saturday night. The Temperature was between 45 to 50 degrees. There was no moon at the time of the sighting and the night was very dark. No clouds or haziness, very clear.  The location was in dense woods on both sides of the road way.","The sighting occured on a road side. The forest on both sides of the road was faily dense with pines of all sizes and some underbrush. There is a state campground on the right side of the road and on the left, at some distance, is an old residence and grounds that are maintained by the State Park System. One would not expect to find people in this area after dark.  The night was very dark and it would have been very difficult if not imposible to see anything without the lights of the vehicle. The moon was not visible at this time of night. The immediate vicinity of the sighting was dry and flat.  The closest creek area is about 400 yards to the south.",23
60,369,2000,Summer,August,CA,Humboldt County,"[Editors' Note: Location details removed.  We know this particular area well, but this report submission pre-dates any of our own experiences there. ]","Between Eureka and Crecent city, Oregon",101,"My friend and I were backpacking in the Redwood National Park, north of Eureka, on [a particular trail in the National Park]. We started hiking at about 3 in the afternoon, and hiked for a few hours. Then we walked off the trail up into a small canyon for about half a mile and made camp. Found bear tracks, started to get worried, so we hung our food from a tree. About this time (7 o'clock) we heard the first scream. It was short, and didn't repeat. We started to get a little freaked out, so we started a fire, and heard nothing for the next 3 or 4 hours. Then at about 10:30 11:00 p.m. the screaming started again, this time lasting for about 10 minutes. It sounded like it was about half a mile away on one of the surrounding ridges, a very eerie wail.  It didn't sound human.  I know what elk, coyote, and wolf calls sound like, and this was nowhere near... very similar to recordings I have heard of supposed bigfoot calls.  We went to bed at about 2 a.m., and left the next morning without incident.","The forest seemed to rustle, lots of birds letting out warning calls, very odd feeling.... then the first scream happened.... and everything became extremely quiet--and stayed that way until the next day..  The hair on my neck is still standing up as i type this.......",2---- we were just sitting around the campfire doing our camping thing.,Don't know any stories.....,"10:30 11:00 p.m... very clear cloudless night, no moon(that we could see)-extremely dark -mild temperature","Redwood forest...... pine, ferns, very damp and mossy. Couldn't really see any landmarks, the forest is too dense.",09/24/2000
