fips,,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
53057,0,60,1994-1997+,Spring,,WA,Skagit County,"Up the Baker hwy., about 12 miles north from Hwy 20.",Concrete,Mt.Baker Hwy,"These two gentlmen, brothers, recluses age 50's phoned me and explained these events. They own and operate a cattle ranch. They have over 200 acres of interspersed Old growth Douglas Fir and graze. There is virtually no access (by vehicle) to their land, because of swamps, creeks and no roads, except the drive onto the innitial property. I have hunted the area around their place and know it well. Also locals would not venture on their property because of their reclusness and temperment - this is why I rule out fowl play! During the months from MAY thru early JULY they (the brothers) had been experiencing calv's missing from herd.The herd numbers over 200 head I believe and the weight of the calv's that turned up missing from time to time during this 3 month time frame,were 300 - 400 lb. calv's. No blood, no body parts at all were ever found,just missing cattle.The brothers also stated that the cattle would always come running to the brothers when the cattle saw them in the pasture to round them up for the evening feeding, but the brothers had noticed that when the events, early on, started happening the cattle, upon seeing the brothers - at a distance, 100 yards or more would run in panic. Immediatly I could see the ""Possible"" reason why, being that the brothers were bipedal in nature also. After a couple of years, and this occured the same time -may thru july, the third year on e evening on a round up the brothers finally found a calf that had just been killed and left. They determined it must have just happened because it was warm. They also felt that they showed up and probably scared off what ever had done this because, an animal had never been left before! A vet, among other qualified persons had a thoruogh exam of the calf. It was skinned, there were no teeth marks, there were no claw marks. The animal was killed by having it's neck broke. Now this calf was in the 300 - 400 lb. range, I don't know any man thats man enough to take on that feet. The examiner also found a very obviouse and DEEP bruise mark running in a 45 degree anle from spine down along rib cage. The out side lines of bruise were very paralel to each other and 6-8in. apart. Like something had kicied the cow in the ribs or hit it with a post, tree whatever that was 6-8 in. wide. That would take alot of POWER. Besides, the blood bruise extended all the way into the inside of the rib cage. Analysis of the lung indicated some sort of respitry ailment or disease assosiated with cougars or the Feline species. How ever no bite marks or claw marks were found anywhere on the animal. Tracks were also found, 3 sets total. Two were from an adult, one set 17in. the other 15in. The third set was much smaller 10in.  ","Feces was found and sent to a University in Montana, determination was that it was from an un-known source. The brothers had also found heavy bone, 1/4 in. thick in pieces like some bone had been smashed. These bone fragments were found in droppings left and still warm by what ever had done this.",,"There is a ridge along their property-Doc Butte, S.E.from Mt. Baker, there are caves there and these brothers think that that may be a good place for a look in the future.  I have witnessed two bipedal creatues myself in my youth years in early 70's - since then I, on my own, have studied, followed up on sightings and reports and accumulated info on Bigfoot for all most 30 years now. There are people in this area who are aware of my interest and knowledge in this area (bigfoot), and the unique and very out of the ordinary report I'm about to tell is definately one (due to circumstances, events, behavior etc etc,) that is quit different from hundreds of accounts and cases that I have ever found! ",These events occured from May all thru June and into early July. For a 3-4 year period - allways in the same time window ( MAY - JULY),200 acres of interspersed Old growth Douglas Fir.,intermittant
53037,3,77,1983,Fall,September,WA,Kittitas County,"I haven't been there in years, but an area map would have Milk Lake on it, and the pond is on the way up to it, they clear cut the area, about the time we stopped going there, wasn't as pretty any more.",Yakima,Chinook pass hyway 410,"We had driven into Milk pond, up Chinook pass, about 30 miles from Yakima, Washington. We were headed to Milk Lake, thats up about 5-7 miles above the pond, we got into the spot late, so we just drove past the pond and found a small area we could part our truck and cabover camper. We ate a quick dinner, and went to bed, we never walked around or made any noise, so I don't think they evey knew we were there. You couldn't see our truck from the pond. In the middle of the night, The frogs from the pond stopped croking, and this loud whistling and clicking noise started, I asked my Husband what it was, and he said he thought it was a Bigfoot. It went on for about 15 min. Then stopped. The next morning I walk all around the pound, hope to see a foot print but didn't. We then went up the hill to the lake. No other people were aound, and while we were fishing we heard the strangest thing, it sounded like someone picked up a 55 gallon metel drum and threw it on the ground, I went in the direction of the noise, but could see or hear anything, but we had thet feeling of being watched. very creapy. So we left. Keep up the good work, i think they are very interesting, would like to meet one, and give them a bag to carry thing in, I think they would like that. Dyann","we thought it was weird the frogs stopped, usally if it was a deer, or Elk, they just keep on croking, but the stopped.","my husband, Glenn.  we had a tape recorded, but didn't think to record it till it was gone.",,,"pine forest, you have to drive up to get to the lake, not many people know about it, and the last mile you have to hike in, so alot of people don't hike, I know about it , because I use to be in Search and Rescue, and we had a little boy drown in the lake, and we had to go up nad find him, it's a merky water, thats why it's called Milk Lake, so he was hard to find.",?
53013,8,89,2000,Summer,July,WA,Columbia County,"Just due east of Spring lake by 1/4 mile up Cummins creek drainage, on  the Tucannon Rd.(f.r. 47)","Dayton,Wa.",Forest Road 47 Tucannon RD,"I had just recently purchased a cabin in the Blue Mountains  of Washington, and my friend and I were in the process of doing some repairs. We later decided to drive down into the Tucannon area to do some fishing in Spring lake.  I had been fishing for around a half hour when Steve got bored and started around the lake, he was on his way back when from behind us across the road where we had to park came a very loud gutteral howling accompanied by grunting and sounds of anger, some bushs were being totally thrashed, this caught us extremly off guard and we just looked in the direction for some time waiting to see what had made the sounds.  Getting dark we decided we did not want to meet what ever it was in the dark and crossed the road and got into the truck, we had to drive right by where we had heard the sounds, we never saw any bushs being trashed, only heard them.  We drove around up and down the adjoining forest roads for sometime to look for tracks and for a possible sighting, but we heard or saw nothing more.",,Two Witness's Steve B. and Ron K.. I was fishing and Steve had just come back from walking about 1/4 the way around the lake,"Yes, their have been sightings and reports of prints in the area for years, mostly over by Walla Walla","High broken clouds, around seventy degrees, in a valley, so it was getting dark, but was actually around eight thirty p.m.","Tucannon river basin, cummins creek drainage, broken pine and low/tall heavy brush cover the entire are. Sounds came from due east of the parking area for Spring lake, up the cummins creek drainage, which is very heavy timber and brush.",7/24/00
53037,26,175,2000,Summer,July,WA,Kittitas County,If you follow the road through Cle Elum on through Roslyn and Ronald and then about 15 miles more you will come to a guard station on you right. You take an immediate right up the hill on a dirt road. Follow that road almost exactly 9 miles up and you will come to a camp area on your left with a fairly large open field. That is where we were camped.,Ronald,FR 4315,"We were having a family reunion and on saturday night everybody was having a good time. When everybody decided to settle down for the night it was about 1-2:00 in the morning. On Sunday morning one of the family members who had slept in a tent said that they had here a growl type high pitch yell they sounded almost man like but with power behind it. Enough power that it seemed to have come off of the mountain side that was behind us.  While talking about it one other family member claimed that they heard it also. They both agreed that it was about 5:00am when the grumble occured.  That following night everybody was cooking dinner on the barbecue's, steak, hamburger,etc. At about 10:00pm we decided to go the the ""frog ponds"" is what we called it. Parts of the creek that cut through land and made little swimming holes. A half hour later and only one frog, we decided to go down stream, cut through camp and go about 50 yards out.   We were all four having a good time laughing and joking around when we came to a little road that seemed to lead to a camp next to ours that was empty. Then this awful smell like human feces, maybe even worse, was in the air. We thought nothing of it and was joking about somebody passing gas. Granted we had two dogs with us, one an 8 yr. old german shepard and a 6 yr. old husky.  We all heard this rustle in the heavily wooded area to our right. Thinking that it was a deer or elk we all got down low and shined our flashlights hoping to catch a glimpse of the animal. Then we heard another rustle, very loud, like it was pushing over trees only coming in our direction. Then two very heavy thuds that were to close to being human like then a deer maybe even a bear was heard, and like cowards, maybe smart ones, we ran back to camp.  All of that happened in a matter of seconds which seemend like minutes. After we calmed ourselves and grabbed a gun, three of us headed back determined to figure out what it was. The fourth was so terrified she was sick to her stomach. We found nothing to be in the area and no other sounds were heard.  Although we didn't realize it at the time there was absolutly no odor in the air surrounding us. And we also realized that the dogs that were with us had no reaction to what happened either. We preceded to go back to camp and tell some of the others. Five more men got there guns and went to look for tracks. Still no odor and nothing was really found in the darkness.  One witnessed a den like area across a marsh type area of the creek. Where it seemed that something had just made itself comfortable for a while to rest.  What ever was out there we felt that it knew we were coming before we even knew what was going on. It seemed like it wasn't even scared or intimidated by us to turn and run away. It did just the oppisite.  The terror we felt was more then anything I've ever felt before. We brought or tents in the middle of camp after deciding not to let the fear make us pack up and leave.",,There were four of us that was actually there when the incident took place. Walking up the road/trail hoping to find some frogs.,"When all of this was done one of the family members, a sherrif, told us that when he was younger he was out hunting with his dad I think. He said that just on top of a ridge he saw something that appeared to be digging. He just curiously kept watching when what ever it was stood straight up two legged, looked at him, turned walked about 10 steps like a human and then ran over the ridge.  Another story followed about my great uncle when he was hunting but I don't recall the details. What he saw scared him to death and he won't talk about it to this day.",It was about 10:30pm. The area was pretty dark and the weather was more warm and humid then normal.,Where we were camped it was pretty open. Right behind us was a creek about 30 feet away. Across the road is a mountain that is pretty heavily wooded along with a mountain that was a good distance away on the other side of the creek. The creek was fairly wide. Some areas deep enough to swim in and others were shallow enough to walk across or just wade in. Huckleberries and some spotted wild raspberries were around the area as well.,30
53059,46,270,1985,Summer,July,WA,Skamania County,I really don't know. My friend used to be the Ranger there many years ago. He drove & I didn't pay any attention to how we got there. Since it's an established campground it shouldn't be hard to locate.,Trout Lake WA,Forest Road 88,"In late June or early July of 1985 I was camping at Cultus Creek Campground in WA with my significant other, my 12 yr. old son, and our Queensland Blue-Heeler ""Panda"". It was our second day there, and we were having a great time because there was no one else in the campground. This campground is on the edge of Indian Heaven, near large huckleberry fields. We had been doing extensive hiking when Panda suddenly appeared to  become ill. She clearly didn't want to continue the hike. The only thing I could think of was that maybe she had ""altitude sickness"", so I told my family that I would take her back to camp so she could rest. The dog stayed glued to my side all the way back to camp, and even after we got there. I noticed ""rustling"" in the brush as we were hiking back down, but gave it no thought as I've done alot of camping and feel quite comfortable in the outdoors. Late that night (actually early the next AM) Panda began barking and yelping and digging frantically at the door to the tent (which was zipped shut). Obviously we all woke up. By that time there was complete silence outside. I said to my friend that I wanted to let her in the tent, but he said ""No, it's probably only a deer."" As soon as I spoke we could hear heavy  ""2-footed"" footsteps running away. Nothing more occurred that night, or the rest of the 2 weeks we camped there. I have always been interested in Bigfoot (for the past 50 yrs), but I never associated this incident with them. Until I began reading reports on the 'net I didn't know this was an area where they had been sighted. I don't recall hearing any screams or banging on trees while we were there. The only odd thing was that the next day we walked all throughout the campground and we were still the only people there! We were located in the last site in the campground, right by the creek. I didn't think of looking for any kind of footprints or anything, so this isn't really much of a ""report"". Just an unusual experience I suppose.","I didn't notice any smell, or anything like that. No noises except the loud running footsteps. I realize this could easily have been a human being, but there was no one else in the campground, and since we were all awake for awhile afterward I think we would have heard a vehicle start up if there was one. But perhaps not. The dog was not afraid of people. And she was NOT friendly to strangers. I can't imagine her being so frightened if it was just a human being in our camp. More likely she would have nailed him!","My son & my friend were there when it occurred. After the sound of the footsteps faded my son called from his tent ""Mom? Is everything OK? What's going on?"" I don't think either of them believes Bigfoot is a real animal, however.","Just what I've read on the internet. My friend says this campground is called ""The Gateway to Indian Heaven.""",The weather was warm & sunny & beautiful. But this occurred during the night & I was in the tent with the door zipped shut. I don't know the phase of the moon at the time.,"We were in the creek bottom, right beside the creek. I can't visualize the trees anymore, but I suppose it was mostly fir. There was heavy brush. We were hiking on the ridge. I think my friend said it was the beginning of (or at least part of) the Pacific Ridge Trail.",Don't know
53045,48,283,1992,Summer,August,WA,Mason County,"Turn off Hiway 101 at Hamma Hamma Recreation Area road, turn onto dirt road 2480 and continue to road 2401 continue on this past Jefferson Lake. The prints were about 1 1/2 -2 miles past lake. The pond is about 1/8 mile from end of road on short spur road.",Hoodsport,Hiway 101,"On August 29, !992 my husband and I found a series of five footprints in a dried up boggy area, about 1 1/2- 2 miles past Jefferson Lake in the Hamma Hamma Recreation Area in Jefferson Co., Wa. The prints were 19 inches long and 10 inches wide at the ball of the foot.  Previous to finding the foot prints we had been about a mile further up the mountain at a small pond. The pond is very secluded and one side, the side across from us was steep bank with thickvegetation. While we sat at the edge of the pond we heard loud brush movement followed y a loud crack as from a large limb breaking. We watched the other side of the pond hoping to see what was making so much noise. Our thoughts were a large animal with as much weight as a bear or elk etc. As we sat, from time to time there would be more rustling of brush followed by the loud crack of a limb breaking but whatever was there never showed itself or left. I sat there for 30 - 45 min. My husband growing bored began working his way around the pond. About half way around he began smelling a strong unpleasant odor. We both felt a strong unease. He came back and we left. We didn't put this incident together with finding the prints a very short time later till after researching the prints we had found and reading about other peoples encounters with bigfoot.  After finding the prints, we went to the ranger station in Hoodsport and told the lady there about the prints we had found. She laughed, said (with a wink) that it must have been ""our sasquatch"". We felt a little silly and left.  I continued to talk about what we had found to friend who mostly were disbelieving, but my boss at work said that it was too bad I hadn't made a plaster caste of it. I hadn't thought of that! The next Saturday, Sept.5 we bought a bag of plaster and returned. The prints were still undisturbed so we made a caste and also took pictures of the prints.",already noted above,"It was my husband and myself. We had stopped to take a picture of a mountain Thorson's Peak. I was looking at the terrain and seeing what animals had left tracks, as I often do.","After our incident someone directed us to John W,. Christman 3022 Stewart Rd. Bremerton, Wa. who records such incidents. He told us of several other sightings etc. in that area that had taken place over the years.",We found the prints late afternoon near the end of a long dry summer.,In this dry season it was a dried up boggy area. It was in a low spot surrounded by steep hills on two sides and a dry creek on the other side. The whole area is surrounded by the Olympic Mountains.,"August,29, 1992"
53053,54,337,2000,Summer,August,WA,Pierce County,,Roy,288th street,"I was taking a walk up the path I had been excavating through my woods. I had been doing this by hand the previous day. I wanted to make a loop path through the thick vine maple and hazelnut brush on my property, when I suddenly got spooked for no discernable reason. I stopped and looked around, when I was growled at by something that sounded like a dog back in the woods. I had my gun, and thinking it was a coyote, I advanced and heard it running through the woods. Later, I looked around by the front of my woods behind my burnpile, and found odd looking feces. Full of a light colored hair. The next day, I went into my woods again early in the morning, and in the same spot, I heard a loud knocking like someone with at least a six inch rock banging it on a tree just out of sight. Within fifty feet of me. Once again, I looked for it, but found no sign, but for no real reason, I was scared even with a .45 cal handgun in my hand. Decided to report this after reading other accounts from pierce county similar to mine.",,,,"Early morning, before sunrise.","Thick vine maple and hazelnut brush, near swamp. Dense woods",
53077,63,382,2000,Summer,July,WA,Yakima County,"From Naches, Wa, head west on Highway 410 towards Chinook Pass. The turnoff to Bumping Lake is about 30 miles from the summit of Chinook Pass.  We went on past Bumping Lake about 4 or 5 miles towards Deep Creek. It was the last 4-wheel drive trail before Deep Creek. This 4 wheel trail was about a mile long, ending in a swampy area.  ",Cliffdale,FR 162,"While on a family camping trip this summer, my husband, our two teenage boys, and our two Newfoundland dogs headed out towards Naches where my husband often hunts. We don't like ""organized"" camping, so we headed towards Bumping Lake in the Mt Baker/Snoqualmie National Forest. We had got a late start, and arrived at the lake about 8:00 pm. We continued on past the camping area at the dam about 4 or 5 miles towards the ""Deep Creek"" area, hoping for a secluded camping spot by the lake. We turned off on a four-wheel drive trail about a mile from Deep Creek. Found a campsite next to a swamp, and as it was getting late and almost dark, we decided to camp.  After setting up camp, about 10:00 pm, our dogs went absolutely nuts, barking and very excited...a few minutes later, a car arrived looking for a camp site, but turned and left. The dogs definitly heard this car well before we did, and did their job annoucing the presence of this ""intruder.""  We fired up the campfire and ate a late dinner, while getting comfortable with our surroundings. It was a mild night, it had been hot and dry for some time. About midnight our two boys headed off to bed. Our big male Newfoundland was chained to a tree about 5 yards away from the campsite. Our female Newf was at our feet, as usual. It was extremely quite where we were. My husband and I were sitting by the campfire relaxing when, out of the swamp beside us, not more than 100 to 200 feet away came a noise, a screem or a grunt that changed pitch to a screech and then ended in a grunt-huffing sound, lasting a long time. The dogs had not reacted at all until they heard this scream, when they went wild. My husband is a logger and advide hunter-outdoorsman, so I turned to him and asked ""what was that?"" From the look of his eyes and on his face, I knew that he did not know what it was. He has heard the voices of about every animal in the Pacific Northwest at some time in 30 plus years of being in the woods. Our oldest son came out of the tent and asked if ""someone was messing with us."" He thought it sounded very human-like.  Please remember that there was absolutely no noise, ie sticks or brush breaking or moving prior to the scream, and the dogs didn't detect anything around us, and they were extremely on edge in their new surroundings. We got the dogs settled down and began discussing possibilities of what was out there.  All was quite about 15 minutes later, when we heard what sounded like two sticks being hit together about 100 yards north of the original scream. The dogs once again went nuts. About another 15 minutes went by when we heard this same noise of sticks being hit together, this time farther away, about 300 yards north and the dogs once again did their thing. Whatever it was had moved silently through the brush in the swamp, apparently downwind from us as the dogs detected no movement between the noises.   About an hour later we found ourselves in the middle of a dry-lighting storm and heard no more unusal sounds.  The following morning my husband and sons went on a search of the area and found no tracks or broken brush around the swamp. We promptly packed up and moved to Deep Creek! ","Of special interest to us is the noise of the sticks after the scream. It was either two sticks being hit together, or a stick hitting a tree. When we re-inacted the sounds to try and figure it out, the two sticks being hit together was the closest in our estimation.","Myself, My husband, 2 sons and 2 dogs.",,"About midnight, overcast, no moon. It had been very hot in the daytime, mild night. Thunder storm rolled overhead about 2:00 am very little rain with the storm.","This area was a pine and fir forest, scrubby high mountain timber. Big swamp area, at the far end of Bumping Lake. ",21
53061,64,391,1999,Spring,,WA,Snohomish County,"Off Pacific Rim Blvd, in Canyon Park.  Walking trail that skirts office buildings along North Creek.  ","Bothell, Canyon Park","Corporate roads, off I405","Hello:  This incident has me curious.  I did not see a Big Foot, but I may have seen evidence of one.  This happened over a year ago, about May of 1999.  It was not until a recent conversation with a person who knows a little about Big Foot traces, that it occurred to me that I might have seen the results of a Big Foot.  I was working up at Canyon Park, in Bothell, WA, a corporate park that is in a region of rapid transition from country to suburban.  There are walking trails around the corporate park, and some are quite wooded.  I would walk one of these trails out for lunch each day; the trail can easily bee seen from the road and office buildings on one side.  A stream runs on the other side.  One afternoon in May 1999, I came across a tree lying directly across the trail.  The diameter of the tree trunk was about 5 inches.  The tree was freshly snapped off and was about 25 feet long (a young tree).  At first I was confused, because it was fresh, not sawed but snapped.  I could not find where the original tree trunk was located.  It took me a couple of minutes to find the trunk.  The tree was snapped off about ten feet up, cleared from the trunk, and laying directly across the trail as to block it.  I was completely dumbfounded as how or who could have climbed up there, snapped it, and done that!  I brought out a friend from work the next day to look at it, and we both were completely perplexed.  It was a calm spring, and there were no winds even close to the strength it would take to snap that tree.  There were no markings on the ground to indicate vehicles or a cherry picker bumping into it; we looked.  Lastly, it did seem to be placed directly on the trail to block it.  We pulled the tree over to unblock the trail. I was telling a friend about it not to long ago, it never occurred to me that it could have something to do with Big Foot.  It would have taken Herculean strength to break that tree, and there seems no logic to doing it around an uninhabited corporate park trail.  I never bothered to look for footprints.  I bet the tree is still lying there.  At least the ten-foot tree trunk would still be there.  Sorry if this report is so cold; had I known what I was looking at, I might have looked for footprints or even perhaps could have checked for hair samples.  What do you think?  Big Foot or just some big animal (Bear) or kids swinging in a tree?  It is a corporate park completely cut off from where kids play, so I doubt that.  Too massive for kids to break as well I think.  Very perplexing and very close to civilization too.  Murray Stockill Mstockill@aol.com ",Just an uneasy feeling that's all.  Like someone knew I walked that trail.  Seemed kind of personal.,"Nothing really to witness, anyone could see the tree.  It might still be there.",No other stories.,"It occured probably at night.  Over a weekend.  Weather was calm all weekend I distinctly remeber.  Typical Spring weather, mild, broken skys.","Wooded stream trail, rather isolated yet close to civilzation (strip malls).  The corporate park is isolated from the rest of the community, and is cut off by the strem (North Creek), marsh land and woods surround the area.  Tough terrain to cross.",
53015,69,406,1984,Fall,,WA,Cowlitz County,"Along the Kalama river, a popular steelhead fishing area (at the time, I'm not sure now). Most areas of this river are accessible from Kalama River Road.","Kalama, Washington",Kalama River Road/I-5 (a ways away),"This is a story that I've never put down on paper, although I've told many people about it over  the years. I was young a the time, but I am sure of what I  saw, so I suppose it's time to report it. You'll forgive me if the details are sketchy, it's been about 16 years (I'm 28 now).  I was steelhead fishing with my father on the Kalama river in southwest Washington state. My dad left me at a bend in the river (unfortunately, I was 12, so I don't know exactly where) and went down to fish out of sight from me.   I drift-fished for a while, with no luck. Then I heard an odd ""whack-whack"" sound, and looked upriver. Across the river, about a 50-70 yards away, I saw a large, black, bipedal figure with a fish (maybe a steelhead?) in its hands. I say hands, not claws, because it repeatedly raised the fish overhead and brought it down on a rock, apparently to kill it. It moved its arms like a brachiating ape, overhead and down in a pretty large half-circle.   What struck me most, other than the odd way of killing a fish, was how upright and thin the figure appeared—I'm no naturalist, but I'd seen Grizzly Adams enough (and spent enough time hunting with my dad) to know what a bear looked like, and this was not a bear. I suppose it could have been a swarthy human dressed all in black whacking a fish against a rock, but why?   Being 12, I pretty much froze and watched. I remember thinking I wasn't going to catch any fish if I didn't cast the line again, but I didn't want to attract the attention of whatever it was across the river. It's difficult to reckon time in this instance, but I would guess it was only a couple of minutes before the creature took the fish and walked back up toward the woods.I didn't actually see it go into the woods, because I reeled my line in as soon as it started to move away and was intent on finding my dad. As soon as I got my line in, I ran down around the bend and told my dad what I'd seen. He told me it was probably just another fisherman and to go back and get my fishing pole.  I realize that a 16 year-old report may seem dubious, but I know what I saw wasn't any kind of animal I'd seen before. I was unable to get across the river (my dad couldn't see the logic in it) to look for tracks, to my eternal regret.",,"One witness: me. I was steelhead fishing, with my line out. My dad was around the bend, out of sight.",,The sun was shining clearly. It was early morning.,"A bend in the river. Wish I could be of more help here, but I was only 12.",
